location,date,,,record_max_temp,,,record_min_temp
Albury,1/1/2015,,,22.9,,,13.4
Albury,1/2/2015,,,25.1,,,7.4
Albury,1/3/2015,,,25.7,,,12.9
Albury,1/4/2015,,,28,,,9.2
Albury,1/5/2015,,,32.3,,,17.5
Albury,1/6/2015,,,29.7,,,14.6
Albury,1/7/2015,,,25,,,14.3
Albury,1/8/2015,,,26.7,,,7.7
Albury,1/9/2015,,,31.9,,,9.7
Albury,1/10/2015,,,30.1,,,13.1
Albury,1/11/2015,,,30.4,,,13.4
Albury,1/12/2015,,,21.7,,,15.9
Albury,1/13/2015,,,18.6,,,15.9
Albury,1/14/2015,,,21,,,12.6
Albury,1/15/2015,,,24.6,,,8.4
Albury,1/16/2015,,,27.7,,,9.8
Albury,1/17/2015,,,20.9,,,14.1
Albury,1/18/2015,,,22.9,,,13.5
Albury,1/19/2015,,,22.5,,,11.2
Albury,1/20/2015,,,25.6,,,9.8
Albury,1/21/2015,,,29.3,,,11.5
Albury,1/22/2015,,,33,,,17.1
Albury,1/23/2015,,,31.8,,,20.5
Albury,1/24/2015,,,30.9,,,15.3
Albury,1/25/2015,,,32.4,,,12.6
Albury,1/26/2015,,,33.9,,,16.2
Albury,1/27/2015,,,33,,,16.9
Albury,1/28/2015,,,32.7,,,20.1
Albury,1/29/2015,,,27.2,,,19.7
Albury,1/30/2015,,,24.2,,,12.5
Albury,1/31/2015,,,24.4,,,12
Albury,2/1/2015,,,26.5,,,11.3
Albury,2/2/2015,,,23.9,,,9.6
Albury,2/3/2015,,,28.8,,,10.5
Albury,2/4/2015,,,34.6,,,12.3
Albury,2/5/2015,,,35.8,,,12.9
Albury,2/6/2015,,,37.9,,,13.7
Albury,2/7/2015,,,38.9,,,16.1
Albury,2/8/2015,,,28.3,,,14
Albury,2/9/2015,,,28.4,,,12.5
Albury,2/10/2015,,,30.8,,,17
Albury,2/11/2015,,,32,,,16.9
Albury,2/12/2015,,,34.7,,,17.3
Albury,2/13/2015,,,37.7,,,17.2
Albury,2/14/2015,,,43,,,17.4
Albury,2/15/2015,,,32.7,,,19.8
Albury,2/16/2015,,,26.7,,,14.9
Albury,2/17/2015,,,28.4,,,10.5
Albury,2/18/2015,,,32.2,,,11.3
Albury,2/19/2015,,,36.6,,,13.9
Albury,2/20/2015,,,39.9,,,18.6
Albury,2/21/2015,,,38.1,,,19.3
Albury,2/22/2015,,,34,,,24.4
Albury,2/23/2015,,,35.2,,,18.8
Albury,2/24/2015,,,30.6,,,20.8
Albury,2/25/2015,,,34.3,,,14
Albury,2/26/2015,,,38.4,,,15.7
Albury,2/27/2015,,,38.2,,,18.5
Albury,2/28/2015,,,40.7,,,20.4
Albury,3/1/2015,,,41.5,,,21.8
Albury,3/2/2015,,,42.9,,,22.3
Albury,3/3/2015,,,42.7,,,22
Albury,3/4/2015,,,43.1,,,28
Albury,3/5/2015,,,38.3,,,24.4
Albury,3/6/2015,,,37.7,,,21.5
Albury,3/7/2015,,,36.9,,,21.7
Albury,3/8/2015,,,41.2,,,21.5
Albury,3/9/2015,,,42.2,,,23.5
Albury,3/10/2015,,,44.8,,,22.3
Albury,3/11/2015,,,40.2,,,28.3
Albury,3/12/2015,,,31.2,,,18.4
Albury,3/13/2015,,,27.3,,,14.9
Albury,3/14/2015,,,26.7,,,13.5
Albury,3/15/2015,,,21.6,,,16.1
Albury,3/16/2015,,,29,,,14.6
Albury,3/17/2015,,,29.2,,,12.4
Albury,3/18/2015,,,31.3,,,13.3
Albury,3/19/2015,,,31.1,,,17.2
Albury,3/20/2015,,,28.8,,,12.5
Albury,3/21/2015,,,32,,,18
Albury,3/22/2015,,,34,,,16.2
Albury,3/23/2015,,,29.1,,,18.7
Albury,3/24/2015,,,31.7,,,13.7
Albury,3/25/2015,,,33.2,,,15.5
Albury,3/26/2015,,,34,,,14.3
Albury,3/27/2015,,,29.6,,,12.9
Albury,3/28/2015,,,31.9,,,8.9
Albury,3/29/2015,,,32.7,,,15
Albury,3/30/2015,,,32.6,,,15.4
Albury,3/31/2015,,,34.5,,,16
Albury,4/1/2015,,,30.3,,,12.8
Albury,4/2/2015,,,31.9,,,13.2
Albury,4/3/2015,,,31.1,,,18
Albury,4/4/2015,,,22.1,,,13.8
Albury,4/5/2015,,,22,,,11.5
Albury,4/6/2015,,,24,,,7.6
Albury,4/7/2015,,,27.9,,,8.3
Albury,4/8/2015,,,30.2,,,11
Albury,4/9/2015,,,31.8,,,13.8
Albury,4/10/2015,,,32,,,15.5
Albury,4/11/2015,,,30.5,,,18.4
Albury,4/12/2015,,,25.7,,,20.9
Albury,4/13/2015,,,25.8,,,17.1
Albury,4/14/2015,,,27,,,16.4
Albury,4/15/2015,,,19.7,,,10
Albury,4/16/2015,,,21.9,,,8.8
Albury,4/17/2015,,,25.3,,,8.4
Albury,4/18/2015,,,28,,,9.3
Albury,4/19/2015,,,30.1,,,11.3
Albury,4/20/2015,,,33.5,,,11.5
Albury,4/21/2015,,,33.6,,,13.8
Albury,4/22/2015,,,30,,,14.6
Albury,4/23/2015,,,31.6,,,14.4
Albury,4/24/2015,,,31.9,,,10.8
Albury,4/25/2015,,,22.3,,,15.4
Albury,4/26/2015,,,29.8,,,13.3
Albury,4/27/2015,,,27.6,,,10.1
Albury,4/28/2015,,,28.9,,,9.1
Albury,4/29/2015,,,31.2,,,10.4
Albury,4/30/2015,,,30.4,,,13.4
Albury,5/1/2015,,,29.9,,,12.3
Albury,5/2/2015,,,30.6,,,12.2
Albury,5/3/2015,,,32.1,,,14.3
Albury,5/4/2015,,,28.1,,,18.4
Albury,5/5/2015,,,21.4,,,10.7
Albury,5/6/2015,,,21.7,,,7.8
Albury,5/7/2015,,,21.4,,,8.1
Albury,5/8/2015,,,22.5,,,7.5
Albury,5/9/2015,,,24,,,8.2
Albury,5/10/2015,,,25.7,,,8.1
Albury,5/11/2015,,,26.7,,,11.6
Albury,5/12/2015,,,24.9,,,13
Albury,5/13/2015,,,24.2,,,13.5
Albury,5/14/2015,,,25.4,,,9.9
Albury,5/15/2015,,,25,,,12.2
Albury,5/16/2015,,,21.9,,,10.7
Albury,5/17/2015,,,20,,,3.5
Albury,5/18/2015,,,21.6,,,6.6
Albury,5/19/2015,,,23.4,,,7
Albury,5/20/2015,,,23.9,,,11.2
Albury,5/21/2015,,,22,,,7.4
Albury,5/22/2015,,,21.4,,,5.7
Albury,5/23/2015,,,22.7,,,6.2
Albury,5/24/2015,,,22.9,,,6
Albury,5/25/2015,,,16.2,,,10.6
Albury,5/26/2015,,,15.8,,,12.9
Albury,5/27/2015,,,12.9,,,8.6
Albury,5/28/2015,,,11.5,,,4.5
Albury,5/29/2015,,,14.5,,,7.6
Albury,5/30/2015,,,12.2,,,5.4
Albury,5/31/2015,,,16.5,,,2.1
Albury,6/1/2015,,,17,,,1.8
Albury,6/2/2015,,,19.2,,,7.2
Albury,6/3/2015,,,18.9,,,4.6
Albury,6/4/2015,,,19.1,,,4.2
Albury,6/5/2015,,,18.8,,,5.2
Albury,6/6/2015,,,19.3,,,4.1
Albury,6/7/2015,,,18.4,,,3.2
Albury,6/8/2015,,,19,,,4.3
Albury,6/9/2015,,,20.5,,,3.7
Albury,6/10/2015,,,19.5,,,5.4
Albury,6/11/2015,,,17.7,,,4.3
Albury,6/12/2015,,,18.5,,,3.6
Albury,6/13/2015,,,15.1,,,3.6
Albury,6/14/2015,,,16.3,,,6.9
Albury,6/15/2015,,,16.6,,,10.3
Albury,6/16/2015,,,16.4,,,12.4
Albury,6/17/2015,,,15.6,,,3
Albury,6/18/2015,,,19.7,,,2.6
Albury,6/19/2015,,,19.1,,,3.7
Albury,6/20/2015,,,18.6,,,5.1
Albury,6/21/2015,,,19.8,,,4.4
Albury,6/22/2015,,,19.8,,,4.7
Albury,6/23/2015,,,22.9,,,6.2
Albury,6/24/2015,,,21.1,,,6.7
Albury,6/25/2015,,,20.3,,,9.3
Albury,6/26/2015,,,18.1,,,11.6
Albury,6/27/2015,,,16.2,,,8
Albury,6/28/2015,,,15.7,,,2.6
Albury,6/29/2015,,,16.5,,,2.2
Albury,6/30/2015,,,16.8,,,2.2
Albury,7/1/2015,,,17.1,,,1.7
Albury,7/2/2015,,,14.3,,,8
Albury,7/3/2015,,,13.4,,,8.4
Albury,7/4/2015,,,14.3,,,10.6
Albury,7/5/2015,,,17.4,,,8.9
Albury,7/6/2015,,,16.1,,,2.8
Albury,7/7/2015,,,10.5,,,1.7
Albury,7/8/2015,,,11.6,,,4.7
Albury,7/9/2015,,,12,,,9
Albury,7/10/2015,,,8.8,,,6.3
Albury,7/11/2015,,,10.5,,,3
Albury,7/12/2015,,,9.6,,,-2
Albury,7/13/2015,,,8.2,,,-1.3
Albury,7/14/2015,,,12.4,,,1.8
Albury,7/15/2015,,,15.8,,,2
Albury,7/16/2015,,,14.9,,,0.5
Albury,7/17/2015,,,17.7,,,1.2
Albury,7/18/2015,,,15.9,,,0.6
Albury,7/19/2015,,,14.7,,,0.5
Albury,7/20/2015,,,15.3,,,0.5
Albury,7/21/2015,,,17.3,,,0.9
Albury,7/22/2015,,,17,,,7
Albury,7/23/2015,,,14.9,,,5
Albury,7/24/2015,,,15.5,,,3.9
Albury,7/25/2015,,,14.1,,,7.7
Albury,7/26/2015,,,12.2,,,4.7
Albury,7/27/2015,,,13.7,,,6.9
Albury,7/28/2015,,,11.9,,,8.4
Albury,7/29/2015,,,12.3,,,9.3
Albury,7/30/2015,,,15.7,,,8.2
Albury,7/31/2015,,,16.1,,,9.1
Albury,8/1/2015,,,13.3,,,8.3
Albury,8/2/2015,,,11.6,,,8.8
Albury,8/3/2015,,,12,,,7.6
Albury,8/4/2015,,,13.2,,,5.7
Albury,8/5/2015,,,12.4,,,3.4
Albury,8/6/2015,,,12.1,,,0
Albury,8/7/2015,,,12.5,,,-1.5
Albury,8/8/2015,,,13.8,,,-1.7
Albury,8/9/2015,,,15,,,-0.4
Albury,8/10/2015,,,13.5,,,0.1
Albury,8/11/2015,,,13.3,,,4.8
Albury,8/12/2015,,,16.5,,,8.1
Albury,8/13/2015,,,13.1,,,5.9
Albury,8/14/2015,,,11,,,6.9
Albury,8/15/2015,,,12.6,,,2.9
Albury,8/16/2015,,,13.4,,,-0.6
Albury,8/17/2015,,,14.4,,,-0.3
Albury,8/18/2015,,,12,,,-1
Albury,8/19/2015,,,14.1,,,3.2
Albury,8/20/2015,,,16.5,,,3.6
Albury,8/21/2015,,,17.7,,,0.8
Albury,8/22/2015,,,12.3,,,6.6
Albury,8/23/2015,,,13.5,,,6
Albury,8/24/2015,,,12.9,,,-0.1
Albury,8/25/2015,,,12.2,,,-0.3
Albury,8/26/2015,,,9.8,,,2.1
Albury,8/27/2015,,,8.8,,,1.3
Albury,8/28/2015,,,12.7,,,4.2
Albury,8/29/2015,,,13.2,,,8.3
Albury,8/30/2015,,,12.1,,,3.3
Albury,8/31/2015,,,14.5,,,6.5
Albury,9/1/2015,,,13.9,,,7.4
Albury,9/2/2015,,,14.1,,,7.5
Albury,9/3/2015,,,13.8,,,8.3
Albury,9/4/2015,,,14.7,,,3.2
Albury,9/5/2015,,,13.8,,,5.7
Albury,9/6/2015,,,17.1,,,5.1
Albury,9/7/2015,,,13.9,,,8
Albury,9/8/2015,,,12.9,,,-0.8
Albury,9/9/2015,,,12.2,,,-1
Albury,9/10/2015,,,14.8,,,1.9
Albury,9/11/2015,,,17.7,,,5.9
Albury,9/12/2015,,,14.3,,,6.9
Albury,9/13/2015,,,11.6,,,7.7
Albury,9/14/2015,,,15.2,,,6.8
Albury,9/15/2015,,,17.5,,,2.7
Albury,9/16/2015,,,15.5,,,5.1
Albury,9/17/2015,,,13.6,,,4.2
Albury,9/18/2015,,,15.6,,,0.6
Albury,9/19/2015,,,16.4,,,1.6
Albury,9/20/2015,,,18.4,,,5.5
Albury,9/21/2015,,,14.8,,,7.3
Albury,9/22/2015,,,14.1,,,0.2
Albury,9/23/2015,,,18.9,,,5.8
Albury,9/24/2015,,,17.1,,,8.9
Albury,9/25/2015,,,12.8,,,7.1
Albury,9/26/2015,,,14.4,,,4.2
Albury,9/27/2015,,,16.7,,,1.1
Albury,9/28/2015,,,18.6,,,1.1
Albury,9/29/2015,,,17.9,,,7.2
Albury,9/30/2015,,,11.1,,,6.3
Albury,10/1/2015,,,14.2,,,6.7
Albury,10/2/2015,,,14.2,,,5.1
Albury,10/3/2015,,,16.8,,,1
Albury,10/4/2015,,,20.7,,,6.1
Albury,10/5/2015,,,16.9,,,6.3
Albury,10/6/2015,,,15,,,2.1
Albury,10/7/2015,,,16.6,,,1.6
Albury,10/8/2015,,,17.6,,,8.3
Albury,10/9/2015,,,16.5,,,5.7
Albury,10/10/2015,,,14.3,,,7.5
Albury,10/11/2015,,,27,,,2.6
Albury,10/12/2015,,,18.8,,,10.6
Albury,10/13/2015,,,24.7,,,6.5
Albury,10/14/2015,,,25.1,,,13.2
Albury,10/15/2015,,,17.8,,,4.3
Albury,10/16/2015,,,17.2,,,1.6
Albury,10/17/2015,,,21.1,,,2.8
Albury,10/18/2015,,,19,,,6.3
Albury,10/19/2015,,,20.4,,,7.4
Albury,10/20/2015,,,20.6,,,5.4
Albury,10/21/2015,,,18.9,,,8
Albury,10/22/2015,,,19,,,3.7
Albury,10/23/2015,,,20.2,,,11.5
Albury,10/24/2015,,,16.8,,,9.3
Albury,10/25/2015,,,18.2,,,8.2
Albury,10/26/2015,,,20.6,,,5.3
Albury,10/27/2015,,,12.2,,,6.8
Albury,10/28/2015,,,12.9,,,4.5
Albury,10/29/2015,,,17.9,,,5.5
Albury,10/30/2015,,,17,,,1.7
Albury,10/31/2015,,,21.4,,,4
Albury,11/1/2015,,,21.1,,,8.9
Albury,11/2/2015,,,22,,,11.7
Albury,11/3/2015,,,13.5,,,8.5
Albury,11/4/2015,,,16.2,,,9.6
Albury,11/5/2015,,,19.7,,,8.3
Albury,11/6/2015,,,16.2,,,5.2
Albury,11/7/2015,,,15.9,,,3.8
Albury,11/8/2015,,,16.3,,,1.2
Albury,11/9/2015,,,18.2,,,3.2
Albury,11/10/2015,,,19,,,4.6
Albury,11/11/2015,,,18.7,,,6.4
Albury,11/12/2015,,,23.3,,,5.8
Albury,11/13/2015,,,17.7,,,6.6
Albury,11/14/2015,,,15.1,,,9.5
Albury,11/15/2015,,,15.7,,,9.7
Albury,11/16/2015,,,16.6,,,4.1
Albury,11/17/2015,,,19.2,,,4.6
Albury,11/18/2015,,,20.3,,,5.1
Albury,11/19/2015,,,22.7,,,5.1
Albury,11/20/2015,,,26.6,,,6.9
Albury,11/21/2015,,,27.1,,,8.8
Albury,11/22/2015,,,27.1,,,9.1
Albury,11/23/2015,,,23.9,,,8.1
Albury,11/24/2015,,,25.4,,,7.4
Albury,11/25/2015,,,23.1,,,10.6
Albury,11/26/2015,,,22,,,10.8
Albury,11/27/2015,,,24.1,,,5.9
Albury,11/28/2015,,,26.8,,,11.3
Albury,11/29/2015,,,26.9,,,14.5
Albury,11/30/2015,,,29.1,,,13.7
Albury,12/1/2015,,,30.8,,,15.6
Albury,12/2/2015,,,34,,,17.8
Albury,12/3/2015,,,32.4,,,18.7
Albury,12/4/2015,,,24.3,,,18.7
Albury,12/5/2015,,,23.2,,,10
Albury,12/6/2015,,,25.3,,,6.6
Albury,12/7/2015,,,27.9,,,10.8
Albury,12/8/2015,,,29.8,,,11.3
Albury,12/9/2015,,,31.8,,,13.5
Albury,12/10/2015,,,33.4,,,15.4
Albury,12/11/2015,,,35.2,,,15.9
Albury,12/12/2015,,,36,,,17.1
Albury,12/13/2015,,,35.1,,,16.7
Albury,12/14/2015,,,32.8,,,18.1
Albury,12/15/2015,,,35.4,,,13.4
Albury,12/16/2015,,,36.3,,,17.2
Albury,12/17/2015,,,35.1,,,15.3
Albury,12/18/2015,,,30.5,,,12.1
Albury,12/19/2015,,,33.5,,,11.4
Albury,12/20/2015,,,39.7,,,18.6
Albury,12/21/2015,,,38.2,,,15.3
Albury,12/22/2015,,,21,,,19.3
Albury,12/23/2015,,,28.3,,,18.3
Albury,12/24/2015,,,23.6,,,11.9
Albury,12/25/2015,,,25.8,,,12.8
Albury,12/26/2015,,,32.9,,,17.2
Albury,12/27/2015,,,34.5,,,21
Albury,12/28/2015,,,26.2,,,15.9
Albury,12/29/2015,,,26.4,,,17.1
Albury,12/30/2015,,,22.3,,,12.8
Albury,12/31/2015,,,23.9,,,13.2
Albury,1/1/2016,,,23.6,,,12.3
BadgerysCreek,1/1/2015,,,34.2,,,13.3
BadgerysCreek,1/2/2015,,,26.1,,,14.7
BadgerysCreek,1/3/2015,,,22.3,,,13.6
BadgerysCreek,1/4/2015,,,31.2,,,17.7
BadgerysCreek,1/5/2015,,,38.8,,,15.5
BadgerysCreek,1/6/2015,,,39.3,,,14
BadgerysCreek,1/7/2015,,,40.3,,,15.3
BadgerysCreek,1/8/2015,,,22.3,,,18.9
BadgerysCreek,1/9/2015,,,22.4,,,14.8
BadgerysCreek,1/10/2015,,,26,,,11.9
BadgerysCreek,1/11/2015,,,30.2,,,12.6
BadgerysCreek,1/12/2015,,,29.4,,,15.3
BadgerysCreek,1/13/2015,,,32.7,,,18.4
BadgerysCreek,1/14/2015,,,39.9,,,15.9
BadgerysCreek,1/15/2015,,,42.9,,,18
BadgerysCreek,1/16/2015,,,34.5,,,14.6
BadgerysCreek,1/17/2015,,,23.7,,,15.5
BadgerysCreek,1/18/2015,,,28.7,,,10.3
BadgerysCreek,1/19/2015,,,33.5,,,11.3
BadgerysCreek,1/20/2015,,,39.2,,,14.6
BadgerysCreek,1/21/2015,,,38.4,,,20.5
BadgerysCreek,1/22/2015,,,33.7,,,19.6
BadgerysCreek,1/23/2015,,,36.1,,,20.3
BadgerysCreek,1/24/2015,,,40.7,,,20.8
BadgerysCreek,1/25/2015,,,28.4,,,18.7
BadgerysCreek,1/26/2015,,,31,,,19.7
BadgerysCreek,1/27/2015,,,28,,,19.3
BadgerysCreek,1/28/2015,,,35.7,,,16.3
BadgerysCreek,1/29/2015,,,35.4,,,16.1
BadgerysCreek,1/30/2015,,,34.6,,,17.4
BadgerysCreek,1/31/2015,,,36.6,,,15.9
BadgerysCreek,2/1/2015,,,31.3,,,18.3
BadgerysCreek,2/2/2015,,,35.1,,,19.5
BadgerysCreek,2/3/2015,,,33.4,,,19.5
BadgerysCreek,2/4/2015,,,32.6,,,20.6
